,isbn,authors,original_publication_year,original_title,average_rating,image_url,publication_year,book_read_url
0,439023483,Suzanne Collins,2008,The Hunger Games,4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg,2008,http://www.archive.org/stream/carlosbookcast-hungergames1
1,439554934,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,4.44,https://images.gr-assets.com/books/1474154022m/3.jpg,1997,http://www.archive.org/stream/harrypotterphilo00rowl_233
2,316015849,Stephenie Meyer,2005,Twilight,3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg,2005,http://openlibrary.org/books/OL9364529M/Twilight_(The_Twilight_Saga_Book_1)/borrow
3,61120081,Harper Lee,1960,To Kill a Mockingbird,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg,1960,http://www.archive.org/stream/in.ernet.dli.2015.185861
4,743273567,F. Scott Fitzgerald,1925,The Great Gatsby,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg,1925,http://openlibrary.org/books/OL23109860M/The_Great_Gatsby/borrow
5,525478817,John Green,2012,The Fault in Our Stars,4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg,2012,
6,618260307,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg,1937,http://www.archive.org/stream/TheHobbitByJRRTolkienEBOOK
7,316769177,J.D. Salinger,1951,The Catcher in the Rye,3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg,1951,http://www.archive.org/stream/catcherrye00sali_360
8,1416524797,Dan Brown,2000,Angels & Demons ,3.85,https://images.gr-assets.com/books/1303390735m/960.jpg,2000,http://openlibrary.org/books/OL19556750M/Angels_Demons/borrow
9,679783261,Jane Austen,1813,Pride and Prejudice,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg,1813,http://www.archive.org/stream/prideprejudiceno00austuoft
10,1594480001,Khaled Hosseini,2003,The Kite Runner ,4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg,2003,http://openlibrary.org/books/OL8876282M/The_Kite_Runner/borrow
11,62024035,Veronica Roth,2011,Divergent,4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg,2011,
12,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg,1949,http://www.archive.org/stream/isbn_3453215265_328
13,452284244,George Orwell,1945,Animal Farm: A Fairy Story,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg,1945,http://openlibrary.org/books/OL3672935M/Animal_farm/borrow
14,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg,1947,http://openlibrary.org/books/OL22595900M/Anne_Frank/borrow
15,307269752,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg,2005,http://www.archive.org/stream/girlwithdragonta00lars_992
16,439023491,Suzanne Collins,2009,Catching Fire,4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg,2009,http://www.archive.org/stream/carlosbookcasts-hungergames2
17,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,4.53,https://images.gr-assets.com/books/1499277281m/5.jpg,1999,
18,618346252,J.R.R. Tolkien,1954, The Fellowship of the Ring,4.34,https://images.gr-assets.com/books/1298411339m/34.jpg,1954,http://www.archive.org/stream/lordofringsco00jrrt
19,439023513,Suzanne Collins,2010,Mockingjay,4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg,2010,
20,439358078,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,4.46,https://images.gr-assets.com/books/1387141547m/2.jpg,2003,http://openlibrary.org/books/OL7962523M/Harry_Potter_and_the_Order_of_the_Phoenix/borrow
21,316166685,Alice Sebold,2002,The Lovely Bones,3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg,2002,http://openlibrary.org/books/OL9431298M/Desde_Mi_Cielo/borrow
22,439064864,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg,1998,
23,439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,4.53,https://images.gr-assets.com/books/1361482611m/6.jpg,2000,
24,545010225,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg,2007,http://www.archive.org/stream/harrypotterdeath00rowl_987
25,307277674,Dan Brown,2003,The Da Vinci Code,3.79,https://images.gr-assets.com/books/1303252999m/968.jpg,2003,http://openlibrary.org/books/OL9067646M/达・芬奇密码/borrow
26,439785960,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,4.54,https://images.gr-assets.com/books/1361039191m/1.jpg,2005,
27,140283331,William Golding,1954,Lord of the Flies ,3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg,1954,
28,743477111,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg,1595,http://www.archive.org/stream/bub_gb_OCHPAAAAMAAJ
29,297859382,Gillian Flynn,2012,Gone Girl,4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg,2012,
30,399155341,Kathryn Stockett,2009,The Help,4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg,2009,http://openlibrary.org/books/OL24930434M/The_Help/borrow
31,142000671,John Steinbeck,1937,Of Mice and Men ,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg,1937,http://www.archive.org/stream/in.ernet.dli.2015.350671
32,739326228,Arthur Golden,1997,Memoirs of a Geisha,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1997,http://openlibrary.org/books/OL354045M/Memoirs_of_a_geisha/borrow
33,1612130291,E.L. James,2011,Fifty Shades of Grey,3.67,https://images.gr-assets.com/books/1385207843m/10818853.jpg,2011,
34,61122416,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,3.82,https://images.gr-assets.com/books/1483412266m/865.jpg,1988,http://www.archive.org/stream/elalquimistaspan00coel
35,385732554,Lois Lowry,1993,The Giver,4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg,1993,
36,60764899,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg,1950,http://openlibrary.org/books/OL26045230M/The_Lion_the_Witch_and_the_Wardrobe/borrow
37,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg,2003,
38,553588486,George R.R. Martin,1996,A Game of Thrones,4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg,1996,
39,143038419,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg,2006,
40,786838655,Rick Riordan,2005,The Lightning Thief,4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg,2005,http://openlibrary.org/books/OL3439844M/The_lightning_thief/borrow
41,451529308,Louisa May Alcott,1868,Little Women,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1868,http://www.archive.org/stream/littlewomenormeg00alcoiala
42,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg,1847,http://www.archive.org/stream/janeeyreautobiog00bronrich
43,553816713,Nicholas Sparks,1996,The Notebook,4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg,1996,http://openlibrary.org/books/OL7537503M/The_Notebook/borrow
44,770430074,Yann Martel,2001,Life of Pi,3.88,https://images.gr-assets.com/books/1320562005m/4214.jpg,2001,
45,1565125606,Sara Gruen,2006,Water for Elephants,4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg,2006,http://openlibrary.org/books/OL24223398M/Water_for_elephants/borrow
46,375831002,Markus Zusak,2005,The Book Thief,4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg,2005,
47,307347974,Ray Bradbury,1953,Fahrenheit 451,3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg,1953,
48,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)",3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg,2006,
49,60513039,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg,1974,
50,1416914285,Cassandra Clare,2007,City of Bones,4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg,2007,
51,316160202,Stephenie Meyer,2007,Eclipse,3.69,https://images.gr-assets.com/books/1361038355m/428263.jpg,2007,
